Teks_Komentar,teks_final
Emang nasional bisa kasih makan kehidupan susah di Indonesia cari kerja susah bngt gajih gx sesuai emng nasionalisme bisa kasih makan kehidupan layak,nasional kasih makan hidup susah indonesia cari kerja susah banget gajih sesuai nasionalisme kasih makan hidup layak
"Punya skill dolo, baru kabur aja dolo.",skil dolo kabur dolo
"Lebih mempertanyakan nasiolisme pejabat, di kasih tanggung jawab malah di korupsi  Lu mau nih negara maju atw ancur",nasiolisme jabat kasih tanggung korupsi negara maju hancur
mudah2han yg kabur bocah2 anak orang kaya dari jakarta semua. biar lebaynya agak luntur.  postingan main disalju sama ngomong yg enak2. tapi ga ngliatin faktor socio-economic disana. warga luar udah bnyak yg protes kenapa pilih buruh/pekerja dari luar bukan dari negara sendiri,mudahhan kabur bocah anak orang kayak jakarta lebaynya luntur postingan main salju omong enak ngliatin faktor socioeconomic warga protes pilih buruhpekerja negara
"Itu yg kabur di malaysia hampir bisa dipastikan datanya x2. Kerna itu baru yg legal aja suda 2.5juta , yg illegalnya lebih banyak. Miris sekali nasib negara ini",kabur malaysia data x kerna legal juta illegalnya miris nasib negara
"Yang mau kerja di luar negeri, silakan. Yang mau kerja di dalam negeri, silakan. Dua-duanya oke. Yang gag oke itu orang yang kerja di luar negeri gag mau, kerja di dalam negeri juga gag mau.",kerja negeri sila kerja negeri sila duaduanya oke oke orang kerja negeri kerja negeri
Silakan kabur... 😊 engk ada yang melarang... Biar engk ada demo demo bikin macet,sila kabur wajahtersenyumdenganmatabahagia larang demo demo bikin macet
"ngaco tempo 5:25 ngasih perbandingan gaji UMR jakarta 5.39jt  dengan pengeluaran rata2 seluruh indonesia 2.5jt, mana ada orang jakarta pengeluaran perbulan 2.5jt, udah jelas biaya hidup lebih tinggi.",aco tempo asih banding gaji umr jakarta jt ratarata indonesia jt orang jakarta jt biaya hidup
Kita rakyat d tuntut hrs pny nasionalisme tinggi dgn d srh pajak tpi pajak rakyat dbuat bancakan sm penguasa yg b'kuasa & gaya hidup mewah penguasa berikut keluarga'y & kroni'y..salam waras..,rakyat tuntut nasionalisme srh pajak pajak rakyat bancak kuasa bkuasa gaya hidup mewah kuasa keluargaya kroniyasalam waras
Rakyat kabur Karena  Penguasa tdk punya rasa Nasionalisme!,rakyat kabur kuasa nasionalisme
Kabur aja dulu gabung sama Rohingya.. 😂,kabur gabung rohingya wajahgembiraberuraiairmata
Kabur ke korea dan japan aja kak anak saya dan ponaan udah lima tahun kerja di korea gaji makan minum terjamin padahal alumi smk..oke😊😊😊😊😊😊,kabur korea japan kak anak ponaan kerja korea gaji makan minum jamin alum smkokewajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagia
"HATI""KABUR AJA ADALAH GERILYA OPERASI  SENYAP KASAK KUSUK KABUR AJA DULU DARI STRATEGI  PRESIDEN DONALD TRUMP YG INGIN MENEMPATKAN SEMENTARA ORWNG PALESTINA KE BUMI  INDONESIA",hatihatikabur gerilya operasi senyap kasak kusuk kabur strategi presiden donald trump orwng palestina bumi indonesia
"Kaburlah kalau mau kabur siapa tahu  nasibmu bagus dinegeri orang🎉 Tetapi harap kausadari bahwa semua tergantung keberuntungamu dan takdirmu🎉Sukar kita utk mengejar rejeki dan rejekilah yg mendatangi kita🎉Menurut saya keluarga saya tdk ada yg minat kerja filuar negeri🎉 Bagi kami lebih nyaman hujan batu dinegeri sendiri daripada hujan emas dinegeri orang🎉Lepas dari kata Nadionalis kalau kami rasanya berar meninggalkan tanah kelahiran krkota lain apalagi men8nggalkan TANAH AIR INDONESIA KELUARNEGERI🎉KAMI TIDAK SENANG MENYALAHKAN PETINGGI NEGARA SEMENTARA KAMI MERASA BELUM BISA BERBUAT SESUATU KEPADA NEGARA🎉ĶITA INI HARUSNYA BERSYUKUR DEBGAN NEGARA YG TETAP KOKOH BERDIRI DENGAN NEGARA YG WILAYAHNYA SELUAS EROPA DENGAN BERBAGAI SUKU BANGSA INDONESIA DAN BERBAGAI PENDATANG ASING YG SIAP MENENDANG KITA DARI INDONESIA🎉SETELAH KITA RAMAI""KELUAR NEGERI NANTINYA JANGAN SALING MENYALAHKAN KALAU PARA PENDATANG ASING MENJARAH NEGARA KITA🎉 AKWN ADA PEPATAH YG DIKANDUNG BERCECERAN YG DIKEJAR TIADA DAPAT😢KALIAN YG PUNYA NIAT KABUR AJA DULU ITU ARTINYA TIDAJ KAWATIR KALAU SUATU SAAT ADA INVASI MILITER ASING KE INDOBESIA🎉KALIWN ITU KEMAUAN TAK SESUAI KEMAMPUAN INTROPEKSI DIRILAH SAMPAI DIMANA TINGKAT KEMAMPUAN KERJA KEAHLIANMU.KEMAHIRANMU KECERDASANMU SAYA KIRA KEPANDAIANMU HANYA MENGUMPAT MENCELA MENYALAHKAN DAN BERDEMO YG NGGAK JELAS TUNTUTANNYA KARENA SEPERTINYA DEMO KALIAN BERFANTA RIA DAN JAUH DARI INTELEKTUALI TAS DAN BUDIPEKERTI🎉AKU SEJAK MUDA NGGAK MAU DEMO KARENA AKU MERASA BELUM BERBUAT APA""TERHADAP NEGARA DAN BANGSA INDONESIA🎉NGGAK SOMBONG BIAR AKU NGGAK PUNYA UANG DISURUH DEMO DIBATAR SEJUTA SAJA AKU TAK MAU KAREBA AKU TAHU DIRI AKU INI SIAPA APA NILAIKU SAMPAI BERABI MENILAI PARA PEJABAT TINGGI YG ISTILAHNYA MEREKA ITU PARA PRIYAYI ANAK CUXUKUPUN TAK ADA YG MAU DEMO KARENA AKHIRNYA IADI PENDEMO  KASAR URAKAN TIDAK BERBUDI LUHUR🎉🎉🎉🎉🎉MAKA DARI ITU RANAI""LAH KABUR AJA KELUAR NEGERI TAK BISA PULANG KE TANAH AIR🎉TANAH AIRNYA DIKUASAI PENDATANG HINGGA KALIAN TIDAK PUNYA TANAH AIR LAGI🎉KALIAN JADI BANGSA YG KEBLANGSAT HANYA DEMI UANG TINGGALJAN NEGERI KALISN PRMUDA HARAPAN APA???",kabur kabur nasib bagus negeri orangpartypopper harap sadar gantung keberuntungamu takdirmupartypoppersukar kejar rejeki rejekilah kitapartypoppermenurut keluarga minat kerja filuar negeripartypopper nyaman hujan batu negeri hujan emas negeri orangpartypopperlepas nadionalis berar tinggal tanah lahir krkota mennggalkan tanah air indonesia keluarnegeripartypopperkami senang salah petinggi negara negarapartypopperkeita syukur debgan negara kokoh negara wilayah luas eropa suku bangsa indonesia asing tendang indonesiapartypoppersetelah ramaikeluar negeri salah asing jarah negara kitapartypopper akwn pepatah kandung cecer kejar tiada dapatwajahmenangiskalian niat kabur arti tidaj kawatir invasi militer asing indobesiapartypopperkaliwn sesuai intropeksi tingkat kerja keahlianmukemahiranmu cerdas pandai umpat cela salah demo tuntut demo berfanta ria intelektual tas budipekertipartypopperaku muda demo apaapaterhadap negara bangsa indonesiapartypopperenggak sombong uang suruh demo dibatar juta kareba nilai rabi nilai jabat istilah priyayi anak cuxukupun demo iadi demo kasar urak budi luhurpartypopperpartypopperpartypopperpartypopperpartypoppermaka ranai kabur negeri pulang tanah airpartypoppertanah air asai tanah air lagipartypopperkalian bangsa keblangsat uang tinggaljan negeri kalisn prmuda harap
"Bagus banget ya luar negeri,aku cinta indonesia tapi muak dengan kehidupan di indonesia,orang luar negeri jauh lebih menghargai daripada orang indonesia kebanyakan rasisme dan kebanyakan merendahkan orang lain,sukanya julid ke temen sendiri ,bersyukur mbak mas udah hidup lebih baik di luar negeri ,dan bisa beli rumah ,tanah,sawah di indonesia,lalu membawa tabungan yang banyak untuk hari tua nanti 😊😊🥲🥲",bagus banget negeriaku cinta indonesia muak hidup indonesiaorang negeri harga orang indonesia rasisme rendah orang lainsukanya julid teman syukur mbak mas hidup negeri beli rumah tanahsawah indonesialalu bawa tabung tua wajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagiawajahtersenyumdenganairmatawajahtersenyumdenganairmata
"Gaji honorer 500 ribu, wowo sibuk program Mbadog Siang Gratissss 170 triliyun...😆",gaji honorer ribu wowo sibuk program mbadog siang gratis triliyunwajahtersenyumlebardanmemejamkanmata
"Sebenarnya Indonesia akan makmur jika petinggi-petingginya jujur dan gak ada yang korupsi. Bukannya sok alim atau bener sendiri, tapi jika semua orang Indonesia tau halal haram, punya karakter bagus, yakin 100% Indonesia lebih baik dari Singapura.  Nasionalisme? Masih ada. Tapi balik lagi, petinggi yg merusaknya.    Berikanlah contoh dan tauladan yg baik, niscaya rakyat akan meletakkan semua kepercayaan dan nasionalismenya.",indonesia makmur petinggipetingginya jujur korupsi sok alim orang indonesia halal haram karakter bagus indonesia singapura nasionalisme petinggi rusak contoh tauladan niscaya rakyat letak percaya nasionalisme
"Yang abal abal nasionalisme nya Silahkan kabur, menggelaneang sana diluar negeri",abal abal nasionalisme sila kabur menggelaneang negeri
"untuk Jerman saya rasa diaspora indonesia gagal mendiskriminasikan indonesia dengan imigran dari negara lain, biasanya karena kesamaan budaya, ideologi atau agama semisal komunitas islam, jerman dan indonesia punya sejarah yang tua dan kompleks, karena kolonialisme byk org jerman hidup dan mati selama 400 tahun di indonesia berbeda dengan negara lain yang tidak memiliki sejarah dengan mereka, tapi saya lihat gagal dan banyak org indonesia lebih memilih identitas baru yang malah mempersulit integrasi.",jerman diaspora indonesia gagal diskriminasi indonesia imigran negara budaya ideologi agama komunitas islam jerman indonesia sejarah tua kompleks kolonialisme orang jerman hidup mati indonesia beda negara milik sejarah lihat gagal orang indonesia pilih identitas sulit integrasi
Semua yg gajian bwah 2 juta per bulan tolong cari kerja jadi cashier mall di Singapura atau jerman juga gpp,gaji bwah juta tolong cari kerja cashier mal singapura jerman apaapa
Sebenarnya pemerintah lebih suka WNI bekerja diluar negara kerna memperkirakan Pendapatan devisa Indonesia dari Tenaga Kerja Indonesia (TKI) atau Pekerja Migran Indonesia (PMI) diperkirakan mencapai Rp436 triliun pada tahun 2025. Jumlah ini lebih tinggi dibandingkan realisasi tahun 2024 yang sebesar Rp251 triliun.,perintah suka wni kerja negara kerna devisa indonesia tenaga kerja indonesia tki kerja migran indonesia pmi capai rp triliun banding realisasi rp triliun
Apakah semudah itu kabur ke luar negeri?. I’m living in australia( been 25 yrs),mudah kabur negeri isama living australia yrs
"Pekerjaan paling Hina guru Honorer digaji dibawah 1jt. Gitu nanya nasionalisme rakyat gila apa. Di luar negeri gaji guru rata"" tertinggi bahkan melebihin instansi pemerintah.",kerja hina guru honorer gaji jt nasionalisme rakyat gila negeri gaji guru instansi perintah
"Kabur aja dulu !!?  Woyyyy,,  duit drmn coba 😂",kabur woy duit darimana coba wajahgembiraberuraiairmata
Bagi kaum muda mendingan jadi warga negara lain ngapain negara enggak perduli sama rakyat nya,kaum muda mending warga negara kapai negara duli rakyat
"Yang mau keluar negeri silakan, cuma haris siap sama hal ini 2:32 Sama liat ini nih 5:14",negeri sila haris lihat
Logis jg # kaburajadulu klo lht keadaan indonesia kini. Kelas menengah kebawah tertekan oleh biaya hidup tinggi. Lapangan kerja terbatas. Penganguran bnyak. Usaha kecil sepi. Korupsi merajalela tdk henti.,logis kaburajadulu lihat indonesia kelas tekan biaya hidup lapang kerja batas penganguran usaha sepi korupsi rajalela henti
"Apakah dengan pak bahlil & pejabat lainnya yg cuma pakai batik disebut nasionalis? Kontribusi mereka ke negara & masyarakat itu mana? Yg kerja & berkarier ke luar negeri malah jauh lebih nasionalis, mereka pun bayar pajak. Ganti nama aja pak jadi BAHLUL 😂",bahlil jabat pakai batik nasionalis kontribusi negara masyarakat kerja karier negeri nasionalis bayar pajak ganti nama bahlul wajahgembiraberuraiairmata
"Sejak Bahlil jadi menteri,  kaburlah orang2...😅",bahlil menteri kabur orangorangwajahtersenyumlebardanberkeringat
"disini pejabatnya kaya pada main proyek, rakyatnya pada susah.",jabat kayak main proyek rakyat susah
"Gaji guru honorer Rp 500,000,-/bulan, sudah cukup menjelaskan semuanya, tidak perlu panjang lebar bercerita.",gaji guru honorer rp lebar cerita
"kalau bukan insinyur serius jangan kabur, saya pernah di ausi sbg mechanical engineer gaji 120jt per bulan kurs indonesia, saya melihat bbrapa orang indo d sana yg kerja kasar hidupnya sulit. serius saya gk bohong. saya skrang sudah di indonesia lagi buka bisnis dan usaha",insinyur serius kabur aus mechanical engineer gaji jt kurs indonesia lihat bbrapa orang indonesia kerja kasar hidup sulit serius bohong indonesia buka bisnis usaha
Halah kerja di luar negeri tuh enak Meski emang kalau gk guna ya gk kerja Tapi kalau punya skill anda akan benar-benar dihargai Gk kayak di taikland ini kerjaan 10 orang dihandle 1 orang dengan boss taiknya,halah kerja negeri enak kerja skil benarbenar harga kayak taikland kerja orang dihandle orang bos taiknya
Info kerja diluar negeri dong,info kerja negeri
"dia ngajak nasionalis, supaya kita setor pajak yang buat mereka korupsi ha.ha.ah.ah.ah",ajak nasionalis setor pajak korupsi hahaahahah
"Seharusnya para pejabat senang apabila banyak WNI yang kerja di LN (skilled employee). Artinya ada lowongan pekerjaan yang ditinggalkan di dalam negeri, sehingga bisa mengurangi pengangguran. Belum lagi, tambahan devisa dari luar negeri semakin banyak.",jabat senang wni kerja ln skilled employe arti lowong kerja tinggal negeri anggur devisa negeri
"Kabur aja terus, gak usah balik2 yah..bikin repot ajah 😂",kabur yabikin repot wajahgembiraberuraiairmata
Sangat setuju sekali..... Untuk kabur ke luar negeri yg lebih baik dan penuh dengan penghargaan kinerjanya,tuju kabur negeri penuh harga kerja
"Bisa kok indonesia maju, warganya sejahtera asal GA DIKORUPSI",indonesia maju warga sejahtera korupsi
"Arif Ujang bayar kontribusi pajaknya buat pemerintah australia, buat negara dan pemerintah Indonesia kontribusi apa?? 😂",arif ujang bayar kontribusi pajak perintah australia negara perintah indonesia kontribusi wajahgembiraberuraiairmata
"Yang harusnya dipertnyakan nasionalismenya itu ya pejabat-pejabat, termasuk pak bahlil itu sendiri. Kalo mereka memang punya rasa nasionalisme, harusnya mereka amanah dalam kerja kelola negara, hasilnya negara makmur masyarakat sejahtera. Lah ini sebaliknya, korupsi di mana-mana, pejabat mentingin diri sendiri dan kelompoknya. Apa itu yang mereka maksud nasionalisme?",dipertnyakan nasionalisme pejabatpejabat masuk bahlil nasionalisme amanah kerja kelola negara hasil negara makmur masyarakat sejahtera korupsi manamana jabat mentingin kelompok maksud nasionalisme
"Kurangi gaji dan tunjangan anggota DPR serta dana pensiunan mereka dipotong, jangan mengambil hak ASN yg mungkin sudah mengabdi selama puluhan tahun tapi belum punya rumah dan mobil karena memang sebegitu rendahnya gaji dan tunjangan mereka.",gaji tunjang anggota dpr dana pensiun potong ambil hak asn abdi puluh rumah mobil rendah gaji tunjang
"Setuju jan asal kabur ikut2an trend, skill dulu dinaikkan. Kl skill ok ya silahkan  Kl skill belum mumpuni jan nekat yg ada justru bikin jelek Indonesia, khawatir generalisir kl tenaga Indonesia dianggap tidak layak ini mematikan peluang bagi WNI lain",tuju kabur ikutikutan trend skil skil ok sila skil mumpuni nekat bikin jelek indonesia khawatir generalisir tenaga indonesia anggap layak mati peluang wni
Indonesia seharusnya tempat yg nyaman utk ditinggali selama para pejabat negaranya tdk salah urus. Secara geografis letaknya sangat strategis (hanya 2 musim & gak terlalu ekstrim). Hny korupsi pejabatnya itu loh yg gak tahan krn sdh dlm taraf yg mengerikan serta begitu negara krg uang rakyatnya yg diperas utk bayar lewat berbagai macam pungutan pajak.,indonesia nyaman tinggal jabat negara salah urus geografis letak strategis musim ekstrim korupsi jabat loh tahan taraf keri negara krg uang rakyat peras bayar pungut pajak
Bagaimana dnegan yg korupsi apakah dia juga nasionalisme bagsimana dnega yg curang demi mendapatkan jabatan dadae bahlul kalau ngomong gak disaring dulu bukankah salah satu devise terbesar dsri kami yg bekerja diluar negeri 😢,dnegan korupsi nasionalisme bagsimana dnega curang jabat dadae bahlul omong saring salah devise dsri kerja negeri wajahmenangis
"Pejabat : ayo rakyat NKRI Harga Mati also Pejabat : Korupsi Timah , E-Ktp , Bensin Pertamax",jabat ayo rakyat nkri harga mati also jabat korupsi timah ektp bensin pertamax
Sejak umur 22 aku dah kabur walau sebagai pmi .pulkam 2thn sekali kadang beberapa bulan ya mau gmana lagi cari nafkah di negri sendiri susah.dan alhamdulilah bisa buat 2 rumah beli tanah yang terpenting bisa menafkahi orang tua.,umur deh kabur pmi pulkam thn kadang cari nafkah negeri susahdan alhamdulilah rumah beli tanah nafkah orang tua
