Teks_Komentar,teks_final,sentiment
Yg mau kabur itu org yg gak puas,kabur orang tidak puas,Netral
"Banyak anak para pejabat malah sekolah di luar negeri,malah ngata2in yang jadi TKI ga nasionalis..tulul😂😂",anak jabat sekolah luar negeri ngata tki tidak nasionalis tulul,Positif
"Bener kata pakdeku sebelum pemilu, ku tanya, ""Pakde pilih siapa?"" ""Ga ada yang pakde pilih, golput aja, ujung-ujungnya sama aja juga."" ""🗿""",bener pakde belum milu pakde pilih tidak ada pakde pilih golput aja ujung ujung,Positif
"bisa ga sih seandainya bang raymon bikin agency kaburajadulu, jd perusahaannya bantuin warga Indonesia yg ingin pindah ke luar negeri dan di koordinir tinggal dimana/disalurkan mata pencahariannya bedasarkan bidang masing2😀😀✌️",tidak raymon bikin agency kaburajadulu usaha bantuin warga indonesia pindah luar negeri koordinir tinggal salur mata cahari bedasarkan bidang,Positif
"Kesian aku tgk rakyat Indonesia...Dipilih Prabo utk perubahan negara,tetapi makin terok... Dana pendidikan Dan kesihatan dipotong... Padahal 2 aspek ni la paling penting... Korup terlalu banyak....",kesi tgk rakyat indonesia pilih prabo ubah negara terok dana didik kesihatan potong aspek korup,Positif
😅😅😅 Mister J DAN MISTER PS ITU ORANG YG INGIN MENGHANCURKAN KONOHA.  ITU NYATA.  GILA SIH NEGARA INI DI PIMPIN JOKO DAN DI TERUSKAN OMON OMON. LUCU NEGERI INI. MASYARAKAT YG HARUS NEKAT. KALO GAK NEKAT MEREKA YG AKAN NEKAT KE MASYARAKAT.,mister mister orang hancur konoha nyata gila negara pimpin joko omon omon lucu negeri masyarakat nekat tidak nekat nekat masyarakat,Positif
"aku dikasih tau oleh kenalan ku Orang2 native Chinese,,""ribuan-jutaan warga Chinese pada kerja di Seluruh Dunia, mencari uang sebanyaknya untuk dikirim ke negerinya berupa investasi bisnis, membangun bisnis,,,justru mereka para perantau sangat mencintai Negerinya"" but kalau WNI yg jadi TKI/TKW...baru sebatas cari uang untuk makan keluarganya di desa, bangun rumah yg layak dan biaya sekolah Anak2nya""",kenal orang native chinese ribu juta warga chinese kerja dunia cari uang kirim negeri upa investasi bisnis bangun bisnis rantau cinta negeri wni tki tkw batas cari uang makan keluarga desa bangun rumah layak biaya sekolah anak,Netral
"Bang Raymond Chin, mohon ijin berpendapat.. saya ada baca berita / nonton media ttg demo mahasiswa ""Indonesia Gelap"" yg dituding sbgai ""mahasewa"" Dan anehnya, banyak dr komen tsb yg mengalihkan ke soal ""kok ga demo ttg UU Perampasan Aset"" Ini SANGAT MIRIP dgn kondisi saat demo Pilkada tahun lalu (ingat kan bang).  Ada lg channel yg komen2ny nyindir mahasiswa krna demo UKT naik, padahal kan demo mahasiswa ""Indonesia Gelap"" itu bukan hanya ttg UKT, tp keseluruhan ada macam2 (kalau tidak salah ada berbagai tuntutan utk pemerintahan) misal ketidakadilan, evaluasi MBG, hingga reformasi kepolisian. Intinya.. dan ga sedikit jg ""oknum netizen"" yg berbalik seolah ""menyerang"" mahasiswa dan ""mendukung"" pemerintah (bisa dibilang mirip2 Bu_ _ _ r lah bang).  Intinya, hal-hal itu adalah keresahan saya saat ini setelah lihat berita berbagai channel youtube dan media lain 😢  Makasih sblmnya 🙏",raymond chin mohon izin ada baca berita nonton media demo mahasiswa indonesia gelap tuding sbgai mahasewa aneh komen alih tidak demo ampas aset kondisi demo pilkada ada channel komen sindir mahasiswa demo ukt demo mahasiswa indonesia gelap tidak ukt ada tidak salah ada tuntut perintah ketidakadilan evaluasi mbg reformasi polisi inti tidak oknum olah serang mahasiswa dukung pemerintah bilang inti resah lihat berita channel youtube media makasih belum,Netral
Faktanya negara d jajah koruptor...pengadilan membunuh rakyat kecil..invastor asing kabur..gabung Brics tujuan auto maju..mlh terjebak politik china...utang negara menumpuk..pemerintah gagal gagal total..mlh menetupi dgn cerita2 hebat mendunia...indonesia gelap menuju gelita....,fakta negara jajah koruptor adil bunuh rakyat invastor asing kabur gabung brics tuju auto maju mlh jebak politik china utang negara tumpuk pemerintah gagal gagal total mlh menetupi cerita hebat dunia indonesia gelap tuju gelita,Positif
"raymond  jadi pejabat pantes...bukan yg jadi pejabat orang titipan, kenal org dalam, haus kekuasaan dan tak ada rasa puas",raymond jabat pantes tidak jabat orang titip kenal orang haus kuasa ada puas,Netral
"Jgn beli properti, ngontrak az dlu...bahaya nyata digitalisasi sertifikat😂",tidak beli properti ngontrak dlu bahaya nyata digitalisasi sertifikat,Netral
"Duo chindo ini sudah kritis, lantas kenapa kita diam saja, ayo kritisi keadaan",duo chindo kritis lantas diam ayo kritisi ada,Netral
"Secara pribadi, sy mendukung, orng Indo ke luar negri untuk bekerja. Sebagai peneliti, tenaga ahli apapun, pedagang, pendidik, militer, dll. sedapat mungkin jng mnjd pembantu ya. Dengan keluar, mereka kirim uang ke ind. mereka yg keluarnegri, menjadi sumber devisa negara. rupiah nilainya menjadi naik. Beban negara berkurang (beban kesehatan, beban beasiswa, beban pendidikan dasar, dll). Jika dikatakan orng pandai akan lbh berguna memajukan negara, itu bulsyit. Kenyataannya, orng orng pandai nilainya rendah. dibayar rendah oleh negara. Pembuat kebijakan tdk sesuai keahliannya. orng orng kreatif tdk dihargai. pembuat penyembuh kanker tdk divasilitasi negara, pembuat mobil listrik tdk difasilitasi negara, pembaut motor dengan tenaga air tdk difasilitasi negara. Negara sibuk menggagalkan mereka. Jika punya kemampuan kerja di luar negri... Pergilah",pribadi dukung orang indo luar negeri kerja teliti tenaga ahli dagang didik militer dll tidak bantu kirim uang ind keluarnegri sumber devisa negara rupiah nilai beban negara beban sehat beban beasiswa beban didik dasar dll orang pandai maju negara bulsyit nyata orang orang pandai nilai rendah bayar rendah negara bijak tidak sesuai ahli orang orang kreatif tidak harga sembuh kanker tidak divasilitasi negara mobil listrik tidak fasilitas negara baut motor tenaga air tidak fasilitas negara negara sibuk gagal kerja luar negri pergi,Positif
"Sayangnya di masyarakat skrng baik yang muda dan yang tua ga ada yang bener² mau melek tentang politik dan kelangsungan hidup bernegara,",sayang masyarakat muda tua tidak ada bener melek politik langsung hidup negara,Netral
"Pembahasan yg amat sangat ber daging nih,  bikin jadi melek politik..   ditunggu di edisi Ramadhan ..",bahas ber daging bikin melek politik tunggu edisi ramadhan,Netral
"Seperti yang diramalkan prabowo dulu thn 2018, katanya 2030 nanti Indonesia  Bubar...😢😢😢 masih ingat kan...???",ramal prabowo indonesia bubar,Positif
Gw jga pengen kabur bang 😂,ken kabur,Positif
"Terkadang kita melihat negara komunis itu negara kejam tetapi negara komunis bisa membuat rakyat nya hebat, maju dan sejahtera.  Kenapa negara kita sendiri yang membuat keadilan yang tidak ada di negara ini. Rakyat terlantar sulit mencari kehidupan. Mungkin karena agama rakyat menjadi kuat menjalani hidup..",terkadang lihat negara komunis negara kejam negara komunis rakyat hebat maju sejahtera negara adil tidak ada negara rakyat lantar sulit cari hidup agama rakyat kuat jalan hidup,Positif
"Alquran surat Al baqarah ayat 2- 5 Orang Beriman, Ayat 6 - 7 Orang kafir, Ayat 8 - 24 Orang munafiq. Orang yang tengah itu lebih banyak dari orang yang kiri atau di kanan. jika yang menang itu orang yang dikanan maka kekananlah semua orang Tengah itu, begitu juga sebaliknya Jika yang Menang itu Orang yang di Kiri maka semua yang ditengah itu akan Berpindah ke Kiri.",alquran surat baqarah ayat orang iman ayat orang kafir ayat orang munafiq orang orang kiri kanan menang orang orang menang orang kiri pindah kiri,Netral
"😊 pengetahuan situasi NKRI memang sangat tidak sehat, tata kelola resources, tidak ada kuota tanah HGB/SHM ( mereka kapitalisme mengendalikan teritorial ).  Dari 118 unsur table periodik kimia, Indonesia sangatlah kaya Sumber Daya. Kontrol keuntungan sumber daya tidak memakmurkan seluruh masyrakat, yg dimakmurkan para penyamun sumber daya.   Daratan Indonesia 1,811,569 Sq Km, total populasi 281 Juta Jiwa. Sangat disayangkan kerusakan Lingkungan dalam rekaman Google earth, tidak sebanding dengan keuntungan exploitasi tambang.  Tampak Daratan Kalimantan Rusak, Sumatera Rusak, Halmahera, bahkan deforestasi papua sangat memprihatinkan. Kepemimpinan hanya jadi rebutan tata kelola kekayaan ( All Resources ) NKRI, mereka yang merampok mudah melarikan diri dan merubah kewarganegaraan. Anda punya Uang dan Kuasa, administrasi dan koneksi mudah diurus di negri Indonesia. 😊  Masyarakat minim pendidikan tidak akan pernah peduli negeri ini, sebab mereka sengaja dipelihara agar terus-terus bodoh untuk tidak mengetahui bahwa NKRI adalah negara terkaya di Dunia dengan segala macam sumber daya. 😅",situasi nkri tidak sehat tata kelola resources tidak ada kuota tanah hgb shm kapitalisme kendali teritorial unsur table periodik kimia indonesia kaya sumber daya kontrol untung sumber daya tidak makmur masyrakat makmur samun sumber daya darat indonesia total populasi juta jiwa sayang rusa lingkung rekam google earth tidak banding untung exploitasi tambang darat kalimantan rusak sumatera rusak halmahera deforestasi papua prihatin pimpin rebut tata kelola kaya resources nkri rampok mudah lari rubah kewarganegaraan uang kuasa administrasi koneksi mudah urus negeri indonesia masyarakat minim didik tidak peduli negeri sengaja pelihara bodoh tidak nkri negara kaya dunia sumber daya,Positif
Felix Siauw & Raymond Chins Indonesia 2029 🔥🤝,felix siauw raymond chins indonesia,Netral
Solusi buat indonesia cm satu yaitu: REVOLUSI.,solusi indonesia revolusi,Netral
Ajari saja mencintai indonesia bukan membenci Indonesia  kalo GK bisa cari kerja ya buat usaha sendiri sukur sukur bisa    berusaha menciptakan tenaga kerja .,ajar cinta indonesia tidak benci indonesia tidak cari kerja usaha sukur sukur usaha cipta tenaga kerja,Negatif
Kabur aja dlu itu adalah kerja aja dlu di luar negeri setelah ada modal balik lagi ke Indonesia membuka usaha dan membuka lapangan pekerjaan,kabur kerja luar negeri ada modal indonesia buka usaha buka lapang kerja,Positif
"Kalau masalah miskin, orang Indonesia itu sangat amat bisa bertahan dri kemiskinan, makan nasi garam aja bisa, 1 telor bagi 4 masih bisa ketawa, Tpi klo hak hidup merdeka dirampok paksa maka sudah tidak ada harga dirinya lgi bagi masyarakat. Masyarakat sudah bisa sabar dengan ekonomi yg jomplang masih lagi didzolimi.",miskin orang indonesia tahan miskin makan nasi garam telor ketawa hak hidup merdeka rampok paksa tidak ada harga masyarakat masyarakat sabar ekonomi jomplang didzolimi,Positif
"Percayalah kalau sertifikat tanah di digitalisasi, rakyat akan perang dengan negara",percaya sertifikat tanah digitalisasi rakyat perang negara,Netral
Iya pejabat ngaku tanah milik masarakat pantai di jual pada pengusaha  mau mengadu sama hukum hukum sendiri dibawah kendali pejabat dan pengusaha,iya jabat tanah milik masyarakat pantai jual usaha adu hukum hukum kendali jabat usaha,Positif
Ustad pelik cerdas saya sependapat di indonesi ke tidak Adilan ke benar melanggar hukum dan di anngap kebenaran. Maling ayam babak ayam babak belur koruptor2 di lindungi ini ke tidak Adilan namanya yang benar di anggap salah yang salah di anngap benar akal sehat nya sudah pada rusak,ustad pelik cerdas indonesia tidak adil langgar hukum anggap maling ayam babak ayam babak bur koruptor lindung tidak adil nama anggap salah salah anggap akal sehat rusak,Positif
Orang yg gak ada opsi buat KABUR AJA.yg hanya punya penghasilan hanya untuk makan sehari-hari ☝☝☝,orang tidak ada opsi kabur aja hasil makan,Netral
"Narasi narasi yg viral sekali adalah gambaran kegelisahan Generasi muda yg ingin merubah nasibnya, ketika Negaranya tidak bisa memberi jawaban , maka mereka bersikap  dinamis,....",narasi narasi viral gambar gelisah generasi muda rubah nasib negara tidak sikap dinamis,Positif
"Yakinlah negri ini setiap tahun makin hancur,dan tunggu aja sebentar lagi pasti kolaps...",negeri hancur tunggu sebentar kolaps,Positif
puncak problem penganggur yg gk bisa diatasi,puncak problem anggur tidak,Positif
soal kabur saja dulu daya sejak lulusan SMP tidak sekolah lagi sudah kabur dari indonesia.cari kerja di luar negri.so kata kata kabur aja dulu saat ini lagi boming.hanya sebuah isu untuk mengganggu pemerintah bekerja.di tambah lagi demo maha siswa menurut saya sangat tidak jelas.yaah saya anggap sampah.pakaian seragama anak pendidikan.tapi otak nya kosong.dan saya tegaskan lagi saya sangat mendukung progaram pemimpianan pa parabowo.jelas membrantas korupsi makan bergisi program hilirisasi industrial.sumberdaya alam.prlarangan exsport bahan mentah.progam raksasa danantara.bahkan mengalahkan malaysia dana yang di kumpulkan nanti.itu kan progam.sangat bagus.nah pertanyaan saya kemarin ada hakim memfonis hukuman ringan.ko ga ada demo.pemerintah berencana menyita aset korupsi tapi di persulit dpr.ko ga ada demo.progam penghematan dana pemangkasan dana sudah jelas merugikan masarakat ko malah di demo.kan sudah di jelaskan.sama.pemerintah yang di pangkas itu uang seharusnya hanya membutuhkan dana efesien tidak perlu habur hamburkan uwang tidak jelas.kan.sudah jelas progam prabowo.ko.di demo.kan.aneh so saya memperkirakan jika pemerintah mengganggu kepentingan asing di negara indonesia bakal ada kerusuhan demo di mana mana karna.bobroknya moral bangsa indonesia mudah di suap nasi bungkus untuk membuat onar.siapa pun presiden nya sampai kiyamat.bakal ada huru hara kecuali masarakat sendiri membenahi diri moral nya.,kabur daya lulus smp tidak sekolah kabur indonesia cari kerja luar negri kabur boming buah isu ganggu pemerintah kerja demo maha siswa tidak jelas yaah anggap sampah pakai seragama anak didik otak kosong dukung progaram pemimpianan parabowo jelas membrantas korupsi makan bergisi program hilir industrial sumberdaya alam prlarangan exsport bahan mentah progam raksasa danantara kalah malaysia dana kumpul progam bagus kemarin ada hakim fon hukum ringan tidak ada demo pemerintah rencana sita aset korupsi sulit dpr tidak ada demo progam hemat dana mangkas dana jelas rugi masyarakat demo jelas pemerintah pangkas uang butuh dana efesien tidak habur hambur uwang tidak jelas jelas program prabowo demo aneh pemerintah ganggu asing negara indonesia ada rusuh demo karna bobrok moral bangsa indonesia mudah suap nasi bungkus onar presiden kiyamat ada huru hara kecuali masyarakat benah moral,Negatif
"Bagus, semoga bisa naikin devisa Indonesia",bagus moga naikin devisa indonesia,Positif
Orang jika belum dilevel menjadi Penguasa.. akan selalu berusaha untuk mencari kebenaran untuk membenahi Negara sang Penguasa ini... Namun ketika sudah menjadi Level Penguasa... Kebenaran adalah Ucapan dan Tindakan dari Si Penguasa itu Sendiri..😅,orang tidak level kuasa usaha cari benah negara sang kuasa level kuasa tindak kuasa,Netral
"Jangan kabur, nenek moyang dara pejuang negeri tercinta ini, mempertahakan dengan,  nyawa, darah, dan air mata, tetap di sini optimis kira sama2 membawa negeri ini jauh lebih adil, dan sejahterah merata, INGAT klo kalian kabur kalian telah meghianati hasil jerih payah para pejuang tanah air,  ketika anda kabur maka negeri ini di isi dengan para orang yg tidak mengerti, untuk apa negeri tercinta ini didirikan dari hasil penyatuan dari raja2, pulau2, suku2, dan ragam agama yg harmonis. Bgiru anda ramai2 kabur, dengan tidak langsung kamu telah menjadikan negeri ini terpecah pecah dan lemah, dan kalian telah meninggalkan saudra2 kalian yang lemah di kond yang sangat, tidak berkeadilan.",tidak kabur nenek moyang dara juang negeri cinta tahak nyawa darah air mata optimis bawa negeri adil sejahterah kabur meghianati hasil jerih payah juang tanah air kabur negeri isi orang tidak erti negeri cinta hasil raja pulau suku ragam agama harmonis bgiru ramai kabur tidak langsung negeri pecah pecah lemah tinggal saudra lemah kond tidak adil,Negatif
